Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:37vEa9sfgAqEZuqX8AX0Zk,Nardis,Explorations,Bill Evans Trio,1961,349493,50,FALSE,,2020-04-15T05:17:06Z,"jazz,cool jazz,jazz ballads,hard bop",Original Jazz Classics,0.517,0.108,0,-24.465,1,0.0479,0.852,0.881,0.124,0.206,79.512,4
spotify:track:4CgRjwN2crlsHcU7ooFGmq,Bitch to the Boys,Night Birds,Shakatak,1982-05,387640,34,FALSE,,2020-04-12T04:12:39Z,"smooth jazz,jazz funk,post-disco,jazz fusion",Shakatak Masters,0.783,0.496,8,-13.041,1,0.0363,0.393,0.624,0.0875,0.909,110.091,4
spotify:track:0EdYLCHThvtSmze7iEqlEN,Maybe Tomorrow,Visions,Grant Green,5/21/1971,295520,46,FALSE,,2020-04-11T00:39:44Z,"hard bop,jazz,jazz funk,soul jazz,bebop,jazz ballads,cool jazz",CM BLUE NOTE (A92),0.52,0.165,6,-15.827,0,0.0429,0.958,0.904,0.226,0.115,113.999,4
spotify:track:4zixM0Qr4lIv0klozaKTKI,Insensatez,Jazz Samba Encore!,Stan Getz;Luiz Bonfá,1/1/1963,201093,0,FALSE,,2020-04-07T21:30:52Z,"bossa nova,jazz,brazilian jazz,cool jazz,latin jazz,jazz ballads",Verve Records,0.664,0.156,5,-16.728,1,0.0413,0.93,0.295,0.0936,0.302,127.518,4
spotify:track:0NIWRd1f7avp9VYTWhylCp,Moon Mist,"The Private Collection, Vol. 1: Studio Sessions Chicago, 1956",Duke Ellington,1/1/1988,207333,0,FALSE,,2020-04-06T10:56:41Z,"jazz,big band,swing music,cool jazz,jazz ballads",R2M,0.262,0.0656,0,-22.517,0,0.0342,0.975,0.861,0.161,0.29,62.755,4
spotify:track:1zlclNkERGFrCxznXOgkD3,Celebrate,Malibu,Anderson .Paak,1/15/2016,226186,52,TRUE,,2020-04-03T21:46:07Z,,"OBE / Apeshit, Inc / EMPIRE",0.703,0.759,0,-6.554,1,0.149,0.0484,0.0031,0.664,0.863,94.009,4
spotify:track:2nWHzbBWBOePUvAImQv2So,Rockit,Future Shock,Herbie Hancock,1983,328115,52,FALSE,,2020-04-03T19:30:27Z,"jazz,jazz fusion,jazz funk,hard bop,cool jazz",Columbia/Legacy,0.878,0.951,7,-5.077,1,0.069,0.0317,0.544,0.0614,0.607,111.334,4
spotify:track:4eaPeaQePXlQMcrV7s7BcK,Kyiv,Kyiv,Tom Misch;Yussef Dayes,3/25/2020,210093,28,FALSE,,2020-04-03T04:29:52Z,"indie soul,nu jazz,indie jazz,jazz fusion",Beyond The Groove / Blue Note Records,0.581,0.622,9,-10.681,0,0.0726,0.299,0.728,0.224,0.286,98.483,4
spotify:track:66RPEhrXg9d2MGsnWuZwsD,Follow It Up,I Want To Believe,Patrick Holland,2/24/2015,220529,0,FALSE,,2020-03-31T17:33:57Z,"lo-fi house,jazz house",Verdicchio Music Publishing,0.894,0.629,11,-9.761,1,0.0796,0.106,0.898,0.0896,0.951,120.799,4
spotify:track:3Dpp4hQD1x3waGaSLZsSs8,Summer Nights,Visions of a New World,Lonnie Liston Smith and the Cosmic Echoes,7/27/2015,305613,0,FALSE,,2020-03-30T18:19:09Z,,Ace Records,0.531,0.395,5,-11.835,0,0.0288,0.406,0.0011,0.0948,0.384,106.159,4
spotify:track:74HYrIbnpc2xKCTenv5qKM,Window Seat,New Amerykah Part Two: Return Of The Ankh,Erykah Badu,3/30/2010,289720,64,FALSE,,2020-03-27T13:36:04Z,"neo soul,r&b",Motown,0.643,0.535,0,-6.795,0,0.0941,0.648,0.00213,0.0766,0.564,82.193,4
spotify:track:39DKpCziiy7woVRBbkclLz,You Don't Know What Love Is,New York Attitude,Kenny Barron;Rufus Reid;Frederick Waits,1996,389000,0,FALSE,,2020-03-26T22:45:34Z,"jazz,hard bop,cool jazz,jazz ballads",UPTOWN JAZZ,0.484,0.0794,1,-20.631,1,0.0475,0.995,0.956,0.0837,0.26,133.973,4
spotify:track:0z7GuzX6SvdWx7KDW5Zxg6,Testing Tubes,Testing Tubes,Praizee,2/12/2019,148072,29,FALSE,,2020-03-23T13:52:47Z,"lo-fi beats,lo-fi",Praizee,0.82,0.139,8,-10.941,1,0.362,0.637,0.776,0.101,0.658,74.993,4
spotify:track:13CJyqGxnGu33axoI7Y96F,Expectations,Expectations,Harvey Sutherland,3/24/2017,270038,0,FALSE,,2020-03-19T23:57:00Z,lo-fi house,Virgin Music Label And Artist Services Australia,0.724,0.556,10,-10.599,0,0.0608,0.00663,0.923,0.091,0.764,89.976,4
spotify:track:20Fjir47YvWiroyPIqqeuj,"Trinkle, Tinkle",Thelonious Monk with John Coltrane (OJC Remaster),Thelonious Monk;John Coltrane,1961,399826,32,FALSE,,2020-03-18T15:39:49Z,"jazz,bebop,hard bop,cool jazz,free jazz,jazz ballads",Original Jazz Classics,0.53,0.347,8,-12.568,1,0.0773,0.636,0,0.277,0.351,78.461,4
spotify:track:15jrsi4n0S152zsrlWkT3v,We Supply,The Bass-ic Collection,Stanley Clarke,10/22/1997,250640,21,FALSE,,2020-03-18T00:25:57Z,"jazz fusion,jazz funk,smooth jazz,jazz",Epic,0.751,0.908,2,-5.567,1,0.0771,0.134,0.00274,0.116,0.801,99.517,4
spotify:track:2ZtixXKNeEMfQqT4iYGqjp,No Signal,Homey,Chon,6/16/2017,228015,0,FALSE,,2020-03-17T22:36:06Z,"math rock,djent,progressive metal,progressive rock",Sumerian Records,0.411,0.629,6,-8.126,1,0.0478,0.0191,0.777,0.384,0.406,110.047,1
